-0.005,165.25403561266484
-0.004,205.45791561294126
-0.003,266.3387644995
-0.002,361.32661227230705
-0.001,539.7717409566774
0.0,1009.8253297781857
0.001,2677.3338056958773
0.002,5248.062957008937
0.003,8031.110495586156
0.004,9753.478413752882
0.005,9965.931336498346
0.006,9892.210259178753
0.007,9822.199102307217
0.008,9710.064846283212
0.009,9438.037499458338
0.01,8995.567097119114
0.011,8333.385825917198
0.012,6587.55290254201
0.013,4278.5892987621
0.014,1865.7047826814076
0.015,663.9903841046237
-0.005,164.8751094356678
-0.005,7.5032074576900545
